"","Query","Tax","Matching","MapQ","AS.max"
"207","02b28324-537d-4fa1-ba5f-3738813ff9ba","Lactobacillus_casei",90.24064171123,0,2058
"210","02c1389d-20fb-4d79-b90f-fa8d7004c213","Lactobacillus_casei",91.581805838425,0,2170
"215","02d13f3a-a58a-49dd-93d3-9bcf3ca6565e","Lactobacillus_casei",86.2119013062409,0,1572
"216","02ddd8ac-259b-4e69-bfb5-9b587396fa17","Lactobacillus_casei",94.4291609353508,0,2382
"222","02f1f7ae-bc64-4cdd-92de-12f356d3500a","Lactobacillus_fermentum",90.498974709501,1,2046
"228","030465a2-8036-4889-8310-2e316d1ae333","Lactobacillus_fermentum",91.4707857622565,1,2182
"230","030d7dd0-cccf-4ff4-a235-4d718039554e","Lactobacillus_casei",90.0729927007299,0,1870
"234","03339e69-9fe5-4e20-993c-a0b656418205","Lactobacillus_casei",88.3296863603209,1,1744
"237","03417c09-878b-43ae-b5e8-9a68c77ad325","Lactobacillus_casei",93.5879945429741,0,2346
"240","0345d8d1-9aa3-48c9-9681-d1caabbd09e1","Lactobacillus_casei",90.9152086137281,0,2134
"245","0349aac9-27ba-4332-9000-a53d31b47d06","Lactobacillus_fermentum",90.5405405405405,6,2086
"249","034f1ae9-2153-453b-86d6-8ab4dce9c344","Enterococcus_faecium",80.5980528511822,0,1182
"253","0358a327-7e06-497b-80b6-441377321afc","Lactobacillus_paracasei",89.410092395167,1,1892
"257","035bb80e-a9de-43a5-bfa7-e0b4a6ec68cc","Lactobacillus_fermentum",84.2598794373744,0,1572
"260","0361820a-3a91-48c9-84ec-2e0fe443493f","Lactobacillus_casei",85.8815426997245,0,1634
"268","036fd24b-7066-4a61-9d77-c428e28c102e","Lactobacillus_paracasei",88.8647866955893,1,1776
"272","0372a0db-842b-4b9b-8d2a-89ecb27bfae2","Lactobacillus_buchneri",89.8818316100443,0,1860
"275","03747900-e128-45ae-bb02-9afda31fca99","Lactobacillus_casei",96.0246744345442,0,2538
"277","0398d5b6-2fe1-47d4-823b-8528ccf812dc","Lactobacillus_casei",94.5504087193461,0,2428
"281","03a60588-b57d-4ec1-a963-4fcba1e9594a","Lactobacillus_casei",85.8741258741259,0,1556
"285","03bf7f36-18e5-4e0d-83c8-9c0bb1d1dcd7","Lactobacillus_casei",90.6186267845003,0,2072
"291","03d25775-59ba-4720-94b1-37527b4cc89e","Lactobacillus_fermentum",91.1945392491468,1,2082
"295","03e396a3-96da-4887-845c-48124a784fcd","Lactobacillus_casei",94.4444444444444,1,2366
"300","03f35876-b64e-410d-9405-6dbbd80320b6","Lactobacillus_brevis",88.8888888888889,1,1820
"302","04385f1f-ce40-4f86-bbbf-3a45cf7575a9","Lactobacillus_casei",88.9328063241107,0,1652
"306","04658a23-2749-49c9-a8f0-feeb64aaf02d","Lactobacillus_casei",95.6013745704467,0,2492
"308","04674861-ce8c-4e42-a5f1-282a0a1e5303","Lactobacillus_casei",86.1526946107784,0,1504
"314","0469cd1a-9d67-4e67-b7e3-268408a628f8","Lactobacillus_fermentum",92.4567474048443,0,2214
"316","049bd26b-d3dc-4d6e-ab8c-71964bad97e2","Lactobacillus_casei",86.8312757201646,1,1716
"323","04a2c1fb-8bde-4c7e-bb2b-875526c1c5bd","Lactobacillus_delbrueckii",80.2989130434783,0,1144
"327","04b5a0ca-5ae1-4ff4-8f72-2613201fce5f","Lactobacillus_fermentum",94.9659863945578,0,2482
"329","04ba4ec1-f5ca-44ac-99c4-7aa2c69e2dd9","Lactobacillus_casei",92.6925608953259,0,2348
"337","04ca8b19-c380-40b0-bc7c-c8e7767a2837","Lactobacillus_fermentum",92.4252491694352,9,2312
"340","04f2b1bb-16f7-403d-9bff-5b0e1c12c058","Pediococcus_pentosaceus",79.957953749124,0,1144
"347","04f92e3b-acf6-4f3a-a9fb-4a1e7161d804","Pediococcus_claussenii",88.4249084249084,0,1764
"348","05062581-4068-4fde-bc02-7e94bc237fc4","Lactobacillus_casei",94.1422594142259,0,2342
"355","05162f4d-2586-4486-9737-d0aa826f3bc6","Lactobacillus_paracasei",85.2323360916614,1,1704
"360","0517c6ea-5e0f-4e5b-a600-b2d4e4a28e05","Lactobacillus_rhamnosus",85.9913793103448,14,1544
"363","0518d02d-f404-4ffd-bfe2-c3e2520846c9","Pediococcus_claussenii",84.5904298459043,0,1278
"368","053a523a-c64b-414d-96a4-4e248c8b74d0","Lactobacillus_oris",85.8723958333333,1,1700
"372","053a7cad-60ff-45ba-a817-286b76ea83e2","Lactobacillus_paracasei",90.5906593406593,0,2062
"374","054c91f9-2172-4eaa-b42f-324518cbe080","Lactobacillus_casei",87.8686327077748,0,1864
"378","054e3e70-aeaa-4b65-9f53-1970840106cf","Lactobacillus_fermentum",90.801393728223,0,2016
